trial,state,macro_pr_auc_h1,model,n_features,feature_groups,group_subsets,subset_meteo,subset_static_pop,subset_static_elev,subset_static_soil,param_use_meteo,param_meteo_subset,param_use_temporal,param_use_static_land,param_use_static_pop,param_use_static_elev,param_elev_subset,param_use_static_soil,param_soil_subset,param_use_class_lag,param_C,param_l1_ratio,subset_temporal,subset_static_land,subset_class_lag,param_temporal_subset,param_land_subset,param_class_lag_subset,param_max_depth,param_n_estimators,param_min_samples_leaf,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_subsample,param_colsample_bytree
77,TrialState.PRUNED,0.35443473933280795,logistic_regression,10,"meteo,temporal,static_elev,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""temporal"": ""both""}",aux_only,,mean_only,,True,aux_only,True,False,False,True,mean_only,False,,True,0.045589350538947526,,both,,agriculture,both,,agriculture,,,,,,,,,
45,TrialState.PRUNED,0.34734268060190954,elastic_net,15,"meteo,temporal,static_elev,static_soil","{""meteo"": ""spei_only"", ""static_elev"": ""std_only"", ""static_soil"": ""sand_podzol"", ""temporal"": ""both""}",spei_only,,std_only,sand_podzol,True,spei_only,True,False,False,True,std_only,True,sand_podzol,False,0.8129516744173548,0.5368095513435602,both,,,both,,,,,,,,,,,
95,TrialState.COMPLETE,0.3279821699368137,logistic_regression,36,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""all"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",all,all,mean_only,all,True,all,True,False,True,True,mean_only,True,all,False,0.017116947266545952,,seasonality,,,seasonality,,,,,,,,,,,
93,TrialState.COMPLETE,0.3279807755344105,logistic_regression,36,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""all"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",all,all,mean_only,all,True,all,True,False,True,True,mean_only,True,all,False,0.017006516868009396,,seasonality,,,seasonality,,,,,,,,,,,
94,TrialState.COMPLETE,0.3279587851813056,logistic_regression,36,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""all"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",all,all,mean_only,all,True,all,True,False,True,True,mean_only,True,all,False,0.01706157531543063,,seasonality,,,seasonality,,,,,,,,,,,
98,TrialState.COMPLETE,0.3278738295476338,logistic_regression,36,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""all"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",all,all,mean_only,all,True,all,True,False,True,True,mean_only,True,all,False,0.019957313708556683,,seasonality,,,seasonality,,,,,,,,,,,
96,TrialState.COMPLETE,0.32739594493355284,logistic_regression,36,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""all"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",all,all,mean_only,all,True,all,True,False,True,True,mean_only,True,all,False,0.015313156238238316,,seasonality,,,seasonality,,,,,,,,,,,
92,TrialState.COMPLETE,0.32697443272425564,logistic_regression,36,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""all"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",all,all,mean_only,all,True,all,True,False,True,True,mean_only,True,all,False,0.014642083899587889,,seasonality,,,seasonality,,,,,,,,,,,
83,TrialState.COMPLETE,0.32627064702074204,logistic_regression,25,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,all,mean_only,all,True,aux_only,True,False,True,True,mean_only,True,all,False,0.008452775829443683,,both,,,both,,,,,,,,,,,
84,TrialState.COMPLETE,0.3259302951619917,logistic_regression,25,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,all,mean_only,all,True,aux_only,True,False,True,True,mean_only,True,all,False,0.010079956432781662,,both,,,both,,,,,,,,,,,
85,TrialState.COMPLETE,0.3258255163077055,logistic_regression,25,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,all,mean_only,all,True,aux_only,True,False,True,True,mean_only,True,all,False,0.010650364476153883,,both,,,both,,,,,,,,,,,
82,TrialState.COMPLETE,0.3254640802154657,logistic_regression,25,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,all,mean_only,all,True,aux_only,True,False,True,True,mean_only,True,all,False,0.012587915344137713,,both,,,both,,,,,,,,,,,
86,TrialState.COMPLETE,0.32469502981428283,logistic_regression,37,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""all"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""both""}",all,all,mean_only,all,True,all,True,False,True,True,mean_only,True,all,False,0.007932048718654487,,both,,,both,,,,,,,,,,,
88,TrialState.COMPLETE,0.3233720973807254,logistic_regression,36,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""all"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",all,all,mean_only,all,True,all,True,False,True,True,mean_only,True,all,False,0.008997619518591633,,seasonality,,,seasonality,,,,,,,,,,,
39,TrialState.PRUNED,0.32149526171926024,catboost,8,"temporal,static_pop,static_elev,static_soil","{""static_elev"": ""both"", ""static_pop"": ""all"", ""static_soil"": ""organic"", ""temporal"": ""both""}",,all,both,organic,False,,True,False,True,True,both,True,organic,False,,,both,,,both,,,,,,350.0,3.0,0.2983921403098939,6.785974097624748,,
79,TrialState.COMPLETE,0.3213099579261397,logistic_regression,25,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,all,mean_only,all,True,aux_only,True,False,True,True,mean_only,True,all,False,0.04107078490887437,,both,,,both,,,,,,,,,,,
64,TrialState.COMPLETE,0.32066735591429996,xgboost,36,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""water"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,water,both,,water,2.0,300.0,,,,0.04324782869789386,,0.7283897418627033,0.6816965506032672
87,TrialState.PRUNED,0.3205791439595568,logistic_regression,7,"temporal,static_land,static_pop,static_elev,static_soil","{""static_elev"": ""mean_only"", ""static_land"": ""crop_only"", ""static_pop"": ""all"", ""static_soil"": ""dominant_only"", ""temporal"": ""both""}",,all,mean_only,dominant_only,False,,True,True,True,True,mean_only,True,dominant_only,False,0.007760958829616178,,both,crop_only,,both,crop_only,,,,,,,,,,
67,TrialState.COMPLETE,0.31916942828377604,logistic_regression,34,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""spei_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,mean_only,all,True,spei_only,True,False,False,True,mean_only,True,all,True,2.7344705265984453,,both,,agriculture,both,,agriculture,,,,,,,,,
66,TrialState.COMPLETE,0.31886721952944075,logistic_regression,34,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""spei_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,mean_only,all,True,spei_only,True,False,False,True,mean_only,True,all,True,2.8785790296882205,,both,,agriculture,both,,agriculture,,,,,,,,,
51,TrialState.COMPLETE,0.3178318539431715,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,3.0,250.0,,,,0.03668078802673266,,0.641197370158635,0.6618329130107423
78,TrialState.COMPLETE,0.3176605574793358,logistic_regression,28,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,,mean_only,all,True,aux_only,True,False,False,True,mean_only,True,all,True,0.04300531321220463,,both,,agriculture,both,,agriculture,,,,,,,,,
81,TrialState.COMPLETE,0.3176137969841923,logistic_regression,25,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,all,mean_only,all,True,aux_only,True,False,True,True,mean_only,True,all,False,0.10009610871615832,,both,,,both,,,,,,,,,,,
76,TrialState.COMPLETE,0.3170299534480727,logistic_regression,28,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,,mean_only,all,True,aux_only,True,False,False,True,mean_only,True,all,True,0.05393374060642003,,both,,agriculture,both,,agriculture,,,,,,,,,
44,TrialState.PRUNED,0.3166919731185144,xgboost,32,"temporal,static_pop,static_elev,static_soil,class_lag","{""class_lag"": ""all"", ""static_elev"": ""std_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",,all,std_only,all,False,,True,False,True,True,std_only,True,all,True,,,seasonality,,all,seasonality,,all,4.0,200.0,,,,0.09128907366467993,,0.5483862059475827,0.5500918680874362
75,TrialState.COMPLETE,0.315657410264305,logistic_regression,28,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,,mean_only,all,True,aux_only,True,False,False,True,mean_only,True,all,True,0.0849522492930154,,both,,agriculture,both,,agriculture,,,,,,,,,
74,TrialState.COMPLETE,0.3141663783492551,logistic_regression,28,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,,mean_only,all,True,aux_only,True,False,False,True,mean_only,True,all,True,0.1534393914772704,,both,,agriculture,both,,agriculture,,,,,,,,,
41,TrialState.COMPLETE,0.3140372782209944,xgboost,41,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""all"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,all,both,,all,3.0,250.0,,,,0.05540537487935847,,0.5747856399870069,0.6601658678320114
72,TrialState.COMPLETE,0.31390818992096914,logistic_regression,28,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,,mean_only,all,True,aux_only,True,False,False,True,mean_only,True,all,True,0.18907824547910523,,both,,agriculture,both,,agriculture,,,,,,,,,
73,TrialState.COMPLETE,0.31383288054556613,logistic_regression,28,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,,mean_only,all,True,aux_only,True,False,False,True,mean_only,True,all,True,0.19211831526430118,,both,,agriculture,both,,agriculture,,,,,,,,,
71,TrialState.COMPLETE,0.31353458481972746,logistic_regression,28,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,,mean_only,all,True,aux_only,True,False,False,True,mean_only,True,all,True,0.2541420519901309,,both,,agriculture,both,,agriculture,,,,,,,,,
69,TrialState.COMPLETE,0.31244607890060283,logistic_regression,28,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""aux_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",aux_only,,mean_only,all,True,aux_only,True,False,False,True,mean_only,True,all,True,2.1012675335481545,,both,,agriculture,both,,agriculture,,,,,,,,,
42,TrialState.COMPLETE,0.31178204464156667,xgboost,40,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""all"", ""meteo"": ""spei_only"", ""static_elev"": ""std_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,std_only,all,True,spei_only,True,False,False,True,std_only,True,all,True,,,both,,all,both,,all,3.0,300.0,,,,0.06338837450044159,,0.554219616268514,0.6473639847831425
27,TrialState.COMPLETE,0.3112811943047078,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,4.0,200.0,,,,0.07480200382731177,,0.5740766439928151,0.5996070052305238
28,TrialState.COMPLETE,0.3107448939594273,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,4.0,200.0,,,,0.08997626156790225,,0.6501638089889348,0.5878943790722674
65,TrialState.COMPLETE,0.31031257833571074,xgboost,35,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,agriculture,both,,agriculture,3.0,300.0,,,,0.04308007385626577,,0.7275926490366217,0.5241334652687125
32,TrialState.COMPLETE,0.30907961740467915,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,3.0,200.0,,,,0.0652515525453609,,0.6476046393134158,0.6091804041312856
19,TrialState.COMPLETE,0.30886968368923146,xgboost,36,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""water"", ""meteo"": ""short"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",short,,both,all,True,short,True,False,False,True,both,True,all,True,,,both,,water,both,,water,2.0,250.0,,,,0.024392624797859714,,0.64378134431814,0.7137234708147073
43,TrialState.COMPLETE,0.3083048779216597,xgboost,40,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""all"", ""meteo"": ""spei_only"", ""static_elev"": ""std_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,std_only,all,True,spei_only,True,False,False,True,std_only,True,all,True,,,both,,all,both,,all,3.0,300.0,,,,0.059934079881621805,,0.5596549684198087,0.6360523539682336
21,TrialState.COMPLETE,0.3081479175940288,xgboost,40,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""water"", ""meteo"": ""indices_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",indices_only,,both,all,True,indices_only,True,False,False,True,both,True,all,True,,,both,,water,both,,water,2.0,250.0,,,,0.026492316152723263,,0.598419353890525,0.7095975275331488
52,TrialState.COMPLETE,0.30808255880485147,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,3.0,250.0,,,,0.05211823495748469,,0.7078474435207136,0.6583076439613131
17,TrialState.COMPLETE,0.30700205318841534,xgboost,39,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""water"", ""meteo"": ""indices_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",indices_only,,mean_only,all,True,indices_only,True,False,False,True,mean_only,True,all,True,,,both,,water,both,,water,2.0,350.0,,,,0.02229418844247789,,0.5162742569977913,0.7297939254023181
59,TrialState.COMPLETE,0.3065433114315337,xgboost,15,"meteo,temporal,static_elev,static_soil","{""meteo"": ""long"", ""static_elev"": ""both"", ""static_soil"": ""organic"", ""temporal"": ""both""}",long,,both,organic,True,long,True,False,False,True,both,True,organic,False,,,both,,,both,,,4.0,200.0,,,,0.05220091487519864,,0.5485397620658485,0.7482214797967162
13,TrialState.COMPLETE,0.30503756550896954,xgboost,38,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""indices_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",indices_only,,mean_only,all,True,indices_only,True,False,False,True,mean_only,True,all,True,,,both,,agriculture,both,,agriculture,2.0,350.0,,,,0.044165054862740645,,0.5010392729831221,0.988578024956887
22,TrialState.COMPLETE,0.3048336691263508,xgboost,36,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""water"", ""meteo"": ""short"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",short,,both,all,True,short,True,False,False,True,both,True,all,True,,,both,,water,both,,water,2.0,200.0,,,,0.02060022199767971,,0.6217572772393859,0.6936056377995764
31,TrialState.COMPLETE,0.30380363830235224,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,4.0,250.0,,,,0.13777036377160526,,0.6129419309692747,0.5885576941004673
33,TrialState.COMPLETE,0.301762052765683,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""spei_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",spei_only,,both,all,True,spei_only,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,4.0,150.0,,,,0.08009689460450918,,0.7424458957849316,0.6225263981543777
15,TrialState.COMPLETE,0.3016794443914844,xgboost,38,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""indices_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",indices_only,,mean_only,all,True,indices_only,True,False,False,True,mean_only,True,all,True,,,both,,agriculture,both,,agriculture,2.0,400.0,,,,0.0100117872629452,,0.5216785479616793,0.43829506763408554
16,TrialState.COMPLETE,0.30107671394634844,xgboost,38,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""agriculture"", ""meteo"": ""indices_only"", ""static_elev"": ""mean_only"", ""static_soil"": ""all"", ""temporal"": ""both""}",indices_only,,mean_only,all,True,indices_only,True,False,False,True,mean_only,True,all,True,,,both,,agriculture,both,,agriculture,2.0,400.0,,,,0.010336394620509526,,0.5037914579011319,0.4369039256923174
62,TrialState.COMPLETE,0.3000976815361943,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""short"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",short,,both,all,True,short,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,2.0,250.0,,,,0.01451734755607065,,0.6443015298309367,0.773170999896179
61,TrialState.COMPLETE,0.299231638208072,xgboost,32,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""fire"", ""meteo"": ""short"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",short,,both,all,True,short,True,False,False,True,both,True,all,True,,,both,,fire,both,,fire,2.0,250.0,,,,0.07327638195231168,,0.6490801829941422,0.6227933502327351
23,TrialState.COMPLETE,0.2986633149605804,xgboost,40,"meteo,temporal,static_elev,static_soil,class_lag","{""class_lag"": ""water"", ""meteo"": ""indices_only"", ""static_elev"": ""both"", ""static_soil"": ""all"", ""temporal"": ""both""}",indices_only,,both,all,True,indices_only,True,False,False,True,both,True,all,True,,,both,,water,both,,water,3.0,200.0,,,,0.02652188825359069,,0.5937468868929056,0.7082218277722098
91,TrialState.COMPLETE,0.2974668028010945,logistic_regression,36,"meteo,temporal,static_pop,static_elev,static_soil","{""meteo"": ""all"", ""static_elev"": ""mean_only"", ""static_pop"": ""all"", ""static_soil"": ""all"", ""temporal"": ""seasonality""}",all,all,mean_only,all,True,all,True,False,True,True,mean_only,True,all,False,0.001432102858419242,,seasonality,,,seasonality,,,,,,,,,,,
14,TrialState.PRUNED,0.29720618758496953,logistic_regression,7,"temporal,class_lag","{""class_lag"": ""agriculture"", ""temporal"": ""both""}",,,,,False,,True,False,False,False,,False,,True,0.018200212785584983,,both,,agriculture,both,,agriculture,,,,,,,,,
