id,article_id,model_name,publication_date,source_file,impact_index,location,classification,severity,confidence,evidence,recency_in_months,geocoded_latitude,geocoded_longitude,geocoded_display_name,geocoded_place_type,geocoded_place_level,geocoded_is_broad,geocoded_country_code,geocoded_osm_id,geocoded_boundingbox,geocoded_place_rank,geocoded_is_low_quality,nuts_level,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts_match_distance_m,source_nuts_level,mention_weight
NEWS_2018_009504,,gemini/gemini-3.5-flash,2018-02-06,&#x2018;Vlasmarkt de laatste jaren weer gezond&#x2019;.DOCX,0,Zuidwesten,Crop Failure & Yield Reduction,2,1.0,"Door de droogte is in 2017 gemiddeld 4,8 ton vlasstro per hectare geoogst. In 2016 was dat 5,9 ton. Het vijfjaarlijks gemiddelde ligt rond 6 ton.",12,,,,,,,,,,,,none,,,,,,none,1.0
NEWS_2018_009504,,gemini/gemini-3.5-flash,2018-02-06,&#x2018;Vlasmarkt de laatste jaren weer gezond&#x2019;.DOCX,0,Zuidwesten,Agricultural Economic Loss,2,1.0,Dat komt de kwaliteit niet ten goede en het drukt de prijs die de telers ontvangen.,12,,,,,,,,,,,,none,,,,,,none,1.0
NEWS_2018_009504,,gemini/gemini-3.5-flash,2018-02-06,&#x2018;Vlasmarkt de laatste jaren weer gezond&#x2019;.DOCX,1,Zeeuws-Vlaanderen,Crop Failure & Yield Reduction,3,1.0,Langs de kust van Zeeuws-Vlaanderen bleef de zaadopbrengst steken op 620 kilo,12,51.3112304,3.7763978,"Zeeuws-Vlaanderen, Zeeland, Nederland",region,region,True,nl,6489819,51.2001624|51.4220101|3.3583840|4.2368053,95,False,nuts3,NL34,Zeeland,NL341,Zeeuwsch-Vlaanderen,,nuts3,1.0
NEWS_2018_009507,,gemini/gemini-3.5-flash,2018-04-04,"'Als Mali valt, wordt de hele Sahel een brandhaard'.DOCX",0,Mali,Social Impacts,2,0.9,"Bamako groeit elk jaar met zo'n honderdduizend mensen, vooral boeren op de vlucht voor geweld en droogte.",0,16.3700359,-2.2900239,Mali,country,country,True,ml,192785,10.1478110|25.0010840|-12.2402835|4.2673828,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009507,,gemini/gemini-3.5-flash,2018-04-04,"'Als Mali valt, wordt de hele Sahel een brandhaard'.DOCX",0,Mali,Crop Failure & Yield Reduction,2,0.9,Daardoor kan de landbouwproductie de komende jaren gemiddeld met een procent afnemen,0,16.3700359,-2.2900239,Mali,country,country,True,ml,192785,10.1478110|25.0010840|-12.2402835|4.2673828,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009518,,gemini/gemini-3.5-flash,2018-02-08,"'Het is fout. Maar dit is hoe wij overleven' Afrika, het meest corrupte continent.DOCX",0,Malawi,Crop Failure & Yield Reduction,3,1.0,En door droogte en overstromingen was de maïsoogst al voor het tweede jaar mislukt.,24,-13.2687204,33.9301963,Malawi,country,country,True,mw,195290,-17.1296031|-9.3683010|32.6718589|35.9185428,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009518,,gemini/gemini-3.5-flash,2018-02-08,"'Het is fout. Maar dit is hoe wij overleven' Afrika, het meest corrupte continent.DOCX",0,Malawi,Social Impacts,3,1.0,In Malawi heerste honger.,24,-13.2687204,33.9301963,Malawi,country,country,True,mw,195290,-17.1296031|-9.3683010|32.6718589|35.9185428,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009527,,gemini/gemini-3.5-flash,2018-04-19,'Ons verhaal is een vergeten tragedie'(10).DOCX,0,Jemen,Water Supply & Sanitation Issues,3,0.6,het zuiveren van drinkwater,0,16.3471243,47.8915271,اليمن,country,country,True,ye,305092,11.9084802|19.0000000|41.6082500|54.7389375,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009527,,gemini/gemini-3.5-flash,2018-04-19,'Ons verhaal is een vergeten tragedie'(10).DOCX,0,Jemen,Social Impacts,3,0.5,Er zijn ruim een miljoen choleragevallen.,0,16.3471243,47.8915271,اليمن,country,country,True,ye,305092,11.9084802|19.0000000|41.6082500|54.7389375,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009541,,gemini/gemini-3.5-flash,2018-03-24,'Water uit de kraan is geen vanzelfsprekendheid'.DOCX,0,Kaapstad,Water Use Restrictions,3,1.0,Het stadsbestuur zette de inwoners daarom op rantsoen: sinds februari mogen zij niet meer dan vijftig liter water per dag gebruiken.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009541,,gemini/gemini-3.5-flash,2018-03-24,'Water uit de kraan is geen vanzelfsprekendheid'.DOCX,0,Kaapstad,Irrigation Shortage,2,0.9,Ook de landbouwsector is gevraagd zijn waterverbruik flink terug te schroeven.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009541,,gemini/gemini-3.5-flash,2018-03-24,'Water uit de kraan is geen vanzelfsprekendheid'.DOCX,0,Kaapstad,Water Supply & Sanitation Issues,3,1.0,"In het door droogte geteisterde Kaapstad tapt deze vrouw bij een waterplaats elke dag 25 liter water, waarmee ze kookt, schoonmaakt en wast.",0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009541,,gemini/gemini-3.5-flash,2018-03-24,'Water uit de kraan is geen vanzelfsprekendheid'.DOCX,1,Dafur,Social Impacts,3,1.0,"vorig jaar zeventig mensen in Darfur (Sudan) om, toen boeren en herders elkaar te lijf gingen over de toegang tot een aantal waterbronnen.",12,14.5484800,44.1137100,"ضفور, الصلول, مديرية مغرب عنس, محافظة ذمار, اليمن",hamlet,local,False,ye,7294958189,14.5284800|14.5684800|44.0937100|44.1337100,10,True,non_nl,,,,,,non_nl,1.0
NEWS_2018_009541,,gemini/gemini-3.5-flash,2018-03-24,'Water uit de kraan is geen vanzelfsprekendheid'.DOCX,2,"Midden-Oosten, Afrika en India",Groundwater Depletion,3,1.0,"Midden-Oosten, Afrika en India, waar de steden groeien en iedereen grondwater oppompt. Het grondwaterpeil daalt daar enorm.",0,,,,,,,,,,,,none,,,,,,none,1.0
NEWS_2018_009548,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(2).DOCX,0,Kaapstad,Water Use Restrictions,3,1.0,Het drinkwater in Kaapstad is al maanden op rantsoen.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009548,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(2).DOCX,0,Kaapstad,Water Supply & Sanitation Issues,3,1.0,Het watertekort geldt als een nationale ramp.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009548,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(2).DOCX,0,Kaapstad,Social Impacts,2,1.0,"Inwoners trekken in de nachtelijke uurtjes naar plekken waar rivierwater kan worden getapt. Wie dit op normale tijden doet, is veroordeeld tot een lange rij wachtenden.",0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009549,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(3).DOCX,0,Kaapstad,Water Use Restrictions,3,1.0,Het drinkwater in Kaapstad is al maanden op rantsoen.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009549,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(3).DOCX,0,Kaapstad,Water Supply & Sanitation Issues,3,1.0,Het watertekort geldt als een nationale ramp.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009549,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(3).DOCX,0,Kaapstad,Social Impacts,2,1.0,"Inwoners trekken in de nachtelijke uurtjes naar plekken waar rivierwater kan worden getapt. Wie dit op normale tijden doet, is veroordeeld tot een lange rij wachtenden.",0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009550,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(4).DOCX,0,Kaapstad,Water Use Restrictions,3,1.0,Het drinkwater in Kaapstad is al maanden op rantsoen.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009550,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(4).DOCX,0,Kaapstad,Water Supply & Sanitation Issues,3,1.0,Het watertekort geldt als een nationale ramp.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009550,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(4).DOCX,0,Kaapstad,Social Impacts,2,1.0,"Inwoners trekken in de nachtelijke uurtjes naar plekken waar rivierwater kan worden getapt. Wie dit op normale tijden doet, is veroordeeld tot een lange rij wachtenden.",0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009551,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(5).DOCX,0,Kaapstad,Water Use Restrictions,3,1.0,Het drinkwater in Kaapstad is al maanden op rantsoen.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009551,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(5).DOCX,0,Kaapstad,Water Supply & Sanitation Issues,3,1.0,Het watertekort geldt als een nationale ramp.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009551,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water(5).DOCX,0,Kaapstad,Social Impacts,2,1.0,"Inwoners trekken in de nachtelijke uurtjes naar plekken waar rivierwater kan worden getapt. Wie dit op normale tijden doet, is veroordeeld tot een lange rij wachtenden.",0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009552,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water.DOCX,0,Kaapstad,Water Use Restrictions,3,1.0,Het drinkwater in Kaapstad is al maanden op rantsoen.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009552,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water.DOCX,0,Kaapstad,Water Supply & Sanitation Issues,3,1.0,Het watertekort geldt als een nationale ramp.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009552,,gemini/gemini-3.5-flash,2018-03-15,06_32 Vroeg uit de veren voor water.DOCX,0,Kaapstad,Social Impacts,2,1.0,"Inwoners trekken in de nachtelijke uurtjes naar plekken waar rivierwater kan worden getapt. Wie dit op normale tijden doet, is veroordeeld tot een lange rij wachtenden.",0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009577,,gemini/gemini-3.5-flash,2018-02-23,_Landbouw en onderwijs krijgen topprioriteit_.DOCX,0,Burkina Faso,Crop Failure & Yield Reduction,3,1.0,"Het droogteseizoen kent heel hoge temperaturen en grote droogte, waardoor de oogsten vaak mislukken",0,12.0753083,-1.6880314,Burkina Faso,country,country,True,bf,192783,9.4104718|15.0840044|-5.5132070|2.4089717,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009577,,gemini/gemini-3.5-flash,2018-02-23,_Landbouw en onderwijs krijgen topprioriteit_.DOCX,0,Burkina Faso,Social Impacts,3,1.0,"Het droogteseizoen kent heel hoge temperaturen en grote droogte, waardoor de oogsten vaak mislukken, wat dan weer tot voedseltekort leidt.",0,12.0753083,-1.6880314,Burkina Faso,country,country,True,bf,192783,9.4104718|15.0840044|-5.5132070|2.4089717,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009577,,gemini/gemini-3.5-flash,2018-02-23,_Landbouw en onderwijs krijgen topprioriteit_.DOCX,0,Burkina Faso,Water Supply & Sanitation Issues,2,0.9,Er is geen zee en daardoor is er een groot watertekort.,0,12.0753083,-1.6880314,Burkina Faso,country,country,True,bf,192783,9.4104718|15.0840044|-5.5132070|2.4089717,70,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009579,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(10).DOCX,0,Kaapstad,Water Use Restrictions,3,1.0,Het water is voor de inwoners van Kaapstad op rantsoen door de aanhoudende droogte - de ergste in honderd jaar. Vanaf 1 februari is er voor maximaal 50 liter per persoon per dag beschikbaar. De tuin sproeien of de auto wassen is uit den boze.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009579,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(10).DOCX,0,Kaapstad,Water Supply & Sanitation Issues,3,1.0,Nog even en er komt geen druppel water meer uit de kraan in Kaapstad. De Zuid-Afrikaanse metropool kampt met een ernstig watertekort,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009579,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(10).DOCX,0,Kaapstad,Reservoir & Surface Water Shortage,3,0.95,"Zo niet, dan daalt het peil in de spaarbekkens zo ver dat er geen druppel meer door de leidingen zal stromen.",0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009584,,gemini/gemini-3.5-flash,2018-01-29,Aarde kan dorst haast niet lessen(15).DOCX,0,Kaapstad,Water Use Restrictions,3,1.0,Het water isvoor de inwoners van Kaapstad op rantsoen door de aanhoudende droogte - de ergste in honderd jaar. Vanaf 1 februari ismaximaal 50 liter per persoon per dag beschikbaar.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009584,,gemini/gemini-3.5-flash,2018-01-29,Aarde kan dorst haast niet lessen(15).DOCX,0,Kaapstad,Reservoir & Surface Water Shortage,3,0.95,dan daalt het peil in de spaarbekkens zover dat er geen druppel meer door de leidingen zal stromen.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009584,,gemini/gemini-3.5-flash,2018-01-29,Aarde kan dorst haast niet lessen(15).DOCX,0,Kaapstad,Water Supply & Sanitation Issues,3,1.0,"Er komt nog water uit de kraan, maar ik koop soms ook water in vijfliterflessen die uit andere delen van het land zijn aangevoerd.",0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009584,,gemini/gemini-3.5-flash,2018-01-29,Aarde kan dorst haast niet lessen(15).DOCX,0,Kaapstad,Broader Economic Disruption,2,1.0,De autowasserettes in de stad zijn dicht of gebruiken uitsluitend gebruikt water.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009589,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(2).DOCX,0,Kaapstad,Water Use Restrictions,3,1.0,Het water is voor de inwoners van Kaapstad op rantsoen door de aanhoudende droogte - de ergste in honderd jaar. Vanaf 1 februari is er voor maximaal 50 liter per persoon per dag beschikbaar. De tuin sproeien of de auto wassen is uit den boze.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009589,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(2).DOCX,0,Kaapstad,Reservoir & Surface Water Shortage,3,1.0,dan daalt het peil in de spaarbekkens zo ver dat er geen druppel meer door de leidingen zal stromen.,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009589,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(2).DOCX,0,Kaapstad,Water Supply & Sanitation Issues,3,1.0,Nog even en er komt geen druppel water meer uit de kraan in Kaapstad. De Zuid-Afrikaanse metropool kampt met een ernstig watertekort,0,-33.9288301,18.4172197,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",city,city,False,za,32675806,-34.0888301|-33.7688301|18.2572197|18.5772197,60,False,non_nl,,,,,,non_nl,1.0
NEWS_2018_009589,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(2).DOCX,1,Nederland,Water Supply & Sanitation Issues,2,0.9,"Het leidt tot problemen met de drinkwatervoorziening, de landbouw, de scheepvaart, de industrie en de natuur.",0,52.2434979,5.6343227,Nederland,country,country,True,nl,2323309,11.7770000|53.7488150|-70.2695876|7.2274985,70,False,country,,,,,,country,1.0
NEWS_2018_009589,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(2).DOCX,1,Nederland,Crop Failure & Yield Reduction,2,0.8,"Het leidt tot problemen met de drinkwatervoorziening, de landbouw, de scheepvaart, de industrie en de natuur.",0,52.2434979,5.6343227,Nederland,country,country,True,nl,2323309,11.7770000|53.7488150|-70.2695876|7.2274985,70,False,country,,,,,,country,1.0
NEWS_2018_009589,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(2).DOCX,1,Nederland,Inland Waterway Disruption,2,0.9,"Het leidt tot problemen met de drinkwatervoorziening, de landbouw, de scheepvaart, de industrie en de natuur.",0,52.2434979,5.6343227,Nederland,country,country,True,nl,2323309,11.7770000|53.7488150|-70.2695876|7.2274985,70,False,country,,,,,,country,1.0
NEWS_2018_009589,,gemini/gemini-3.5-flash,2018-01-26,Aarde kan dorst haast niet lessen(2).DOCX,1,Nederland,Industrial Water Shortages,2,0.9,"Het leidt tot problemen met de drinkwatervoorziening, de landbouw, de scheepvaart, de industrie en de natuur.",0,52.2434979,5.6343227,Nederland,country,country,True,nl,2323309,11.7770000|53.7488150|-70.2695876|7.2274985,70,False,country,,,,,,country,1.0
